Borough,Cohort Year,Cohort Category,Total Cohort Num,Total Grads Num,Still Enrolled Num,Dropped Out Num,Population,Amount of Arrest
Bronx,2001,4 Year  June,11453,"4,913","3,512",2438,1332650,1097367
Bronx,2001,5 Year,11453,"6,058","1,412",3178,1332650,1097367
Bronx,2001,6 Year,11453,"6,360",610,3614,1332650,1097367
Bronx,2002,4 Year  June,12032,"5,328","4,047",2140,1332650,1097367
Bronx,2002,5 Year,12032,"6,582","1,724",3008,1332650,1097367
Bronx,2002,6 Year,12032,"6,964","1,024",3255,1332650,1097367
Bronx,2003,4 Year  June,13632,"6,389","4,258",2472,1332650,1097367
Bronx,2003,5 Year,13632,"7,728","1,879",3211,1332650,1097367
Bronx,2003,6 Year,13681,"8,186","1,032",3481,1332650,1097367
Bronx,2004,4 Year  June,14364,"7,448","4,169",2303,1332650,1097367
Bronx,2004,5 Year,14465,"8,856","1,587",2991,1332650,1097367
Bronx,2004,6 Year,14452,"9,307","1,094",3233,1332650,1097367
Bronx,2005,4 Year  June,15175,"8,229","3,943",2147,1332650,1097367
Bronx,2005,4 Year August,15175,"8,805","3,368",2147,1332650,1097367
Bronx,2005,5 Year,15447,"9,680","1,569",3100,1332650,1097367
Bronx,2005,6 Year,15470,"10,139",966,3264,1332650,1097367
Bronx,2006,4 Year  June,15579,"8,524","3,824",2402,1385108,1097367
Bronx,2006,4 Year August,15579,"9,215","3,160",2375,1385108,1097367
Bronx,2006,5 Year  June,15989,"9,922","1,530",3412,1385108,1097367
Bronx,2006,5 Year August,15989,"10,112","1,402",3346,1385108,1097367
Bronx,2007,4 Year  June,15987,"8,421","4,372",2527,1385108,1097367
Bronx,2007,4 Year August,15987,"9,194","3,624",2501,1385108,1097367
Brooklyn,2001,4 Year  June,19961,"9,758","6,101",3547,2465326,1334914
Brooklyn,2001,5 Year,19961,"11,715","2,155",5270,2465326,1334914
Brooklyn,2001,6 Year,19961,"12,288",907,5866,2465326,1334914
Brooklyn,2002,4 Year  June,20808,"10,337","6,368",3369,2465326,1334914
Brooklyn,2002,5 Year,20808,"12,376","2,729",4705,2465326,1334914
Brooklyn,2002,6 Year,20808,"13,098","1,252",5359,2465326,1334914
Brooklyn,2003,4 Year  June,21334,"11,064","6,571",3198,2465326,1334914
Brooklyn,2003,5 Year,21334,"13,221","2,541",4707,2465326,1334914
Brooklyn,2003,6 Year,21333,"13,914","1,151",5163,2465326,1334914
Brooklyn,2004,4 Year  June,22353,"12,303","6,487",2973,2465326,1334914
Brooklyn,2004,5 Year,22426,"14,468","2,477",4112,2465326,1334914
Brooklyn,2004,6 Year,22397,"15,271","1,318",4722,2465326,1334914
Brooklyn,2005,4 Year  June,22331,"12,603","6,320",2578,2465326,1334914
Brooklyn,2005,4 Year August,22331,"13,508","5,417",2577,2465326,1334914
Brooklyn,2005,5 Year,22373,"14,898","2,024",4274,2465326,1334914
Brooklyn,2005,6 Year,22315,"15,608",974,4563,2465326,1334914
Brooklyn,2006,4 Year  June,22177,"13,040","5,636",2731,2504700,1334914
Brooklyn,2006,4 Year August,22177,"14,043","4,648",2716,2504700,1334914
Brooklyn,2006,5 Year  June,22339,"15,273","1,900",4150,2504700,1334914
Brooklyn,2006,5 Year August,22339,"15,518","1,694",4102,2504700,1334914
Brooklyn,2007,4 Year  June,22595,"13,445","5,669",2845,2504700,1334914
Brooklyn,2007,4 Year August,22595,"14,508","4,653",2808,2504700,1334914
Manhattan,2001,4 Year  June,12670,"7,480","2,829",1962,1537195,1303786
Manhattan,2001,5 Year,12670,"8,537",917,2668,1537195,1303786
Manhattan,2001,6 Year,12670,"8,768",373,2936,1537195,1303786
Manhattan,2002,4 Year  June,13463,"7,746","3,561",1743,1537195,1303786
Manhattan,2002,5 Year,13463,"8,765","1,733",2410,1537195,1303786
Manhattan,2002,6 Year,13463,"9,285",810,2767,1537195,1303786
Manhattan,2003,4 Year  June,13879,"7,613","4,240",1729,1537195,1303786
Manhattan,2003,5 Year,13879,"9,163","1,606",2639,1537195,1303786
Manhattan,2003,6 Year,13902,"9,704",661,2946,1537195,1303786
Manhattan,2004,4 Year  June,15127,"8,780","4,243",1842,1537195,1303786
Manhattan,2004,5 Year,15322,"10,476","1,522",2590,1537195,1303786
Manhattan,2004,6 Year,15339,"10,998",689,2881,1537195,1303786
Manhattan,2005,4 Year  June,15843,"9,816","3,874",1597,1537195,1303786
Manhattan,2005,4 Year August,15843,"10,373","3,318",1597,1537195,1303786
Manhattan,2005,5 Year,16065,"11,338","1,291",2610,1537195,1303786
Manhattan,2005,6 Year,16015,"11,843",556,2782,1537195,1303786
Manhattan,2006,4 Year  June,16416,"10,411","3,719",1684,1585873,1303786
Manhattan,2006,4 Year August,16416,"10,947","3,194",1674,1585873,1303786
Manhattan,2006,5 Year  June,16436,"11,889","1,180",2606,1585873,1303786
Manhattan,2006,5 Year August,16436,"12,034","1,070",2563,1585873,1303786
Manhattan,2007,4 Year  June,16198,"10,149","3,681",1846,1585873,1303786
Manhattan,2007,4 Year August,16198,"10,894","2,966",1819,1585873,1303786
Queens,2001,4 Year  June,17011,"9,180","4,679",2696,2229379,895903
Queens,2001,5 Year,17011,"10,892","1,526",3931,2229379,895903
Queens,2001,6 Year,17011,"11,358",519,4438,2229379,895903
Queens,2002,4 Year  June,18262,"9,869","4,961",2816,2229379,895903
Queens,2002,5 Year,18262,"11,745","1,798",3934,2229379,895903
Queens,2002,6 Year,18262,"12,278",877,4286,2229379,895903
Queens,2003,4 Year  June,18415,"10,455","4,869",2718,2229379,895903
Queens,2003,5 Year,18415,"12,419","1,648",3715,2229379,895903
Queens,2003,6 Year,18468,"12,953",639,4029,2229379,895903
Queens,2004,4 Year  June,18725,"10,922","5,001",2505,2229379,895903
Queens,2004,5 Year,18862,"12,947","1,478",3393,2229379,895903
Queens,2004,6 Year,18897,"13,518","1,024",3710,2229379,895903
Queens,2005,4 Year  June,19511,"11,863","4,435",2435,2229379,895903
Queens,2005,4 Year August,19511,"12,615","3,684",2434,2229379,895903
Queens,2005,5 Year,19681,"13,700","1,481",3651,2229379,895903
Queens,2005,6 Year,19682,"14,241",766,3854,2229379,895903
Queens,2006,4 Year  June,19558,"12,465","4,272",2256,2230722,895903
Queens,2006,4 Year August,19558,"13,378","3,363",2252,2230722,895903
Queens,2006,5 Year  June,19746,"14,291","1,354",3322,2230722,895903
Queens,2006,5 Year August,19746,"14,466","1,228",3266,2230722,895903
Queens,2007,4 Year  June,20206,"13,126","4,500",2137,2230722,895903
Queens,2007,4 Year August,20206,"14,143","3,511",2121,2230722,895903
Staten Island,2001,4 Year  June,3872,"2,565",786,417,443728,166361
Staten Island,2001,5 Year,3872,"2,837",228,661,443728,166361
Staten Island,2001,6 Year,3872,"2,873",131,717,443728,166361
Staten Island,2002,4 Year  June,4134,"2,721",844,426,443728,166361
Staten Island,2002,5 Year,4134,"2,987",383,580,443728,166361
Staten Island,2002,6 Year,4134,"3,062",206,676,443728,166361
Staten Island,2003,4 Year  June,4218,"2,812",919,374,443728,166361
Staten Island,2003,5 Year,4218,"3,077",350,610,443728,166361
Staten Island,2003,6 Year,4249,"3,172",155,692,443728,166361
Staten Island,2004,4 Year  June,4142,"2,788",844,381,443728,166361
Staten Island,2004,5 Year,4273,"3,140",228,573,443728,166361
Staten Island,2004,6 Year,4265,"3,213",239,628,443728,166361
Staten Island,2005,4 Year  June,4460,"3,098",758,362,443728,166361
Staten Island,2005,4 Year August,4460,"3,192",664,362,443728,166361
Staten Island,2005,5 Year,4517,"3,368",283,583,443728,166361
Staten Island,2005,6 Year,4512,"3,446",163,627,443728,166361
Staten Island,2006,4 Year  June,4603,"3,346",683,414,468730,166361
Staten Island,2006,4 Year August,4603,"3,423",607,413,468730,166361
Staten Island,2006,5 Year  June,4646,"3,561",264,613,468730,166361
Staten Island,2006,5 Year August,4646,"3,578",256,600,468730,166361
Staten Island,2007,4 Year  June,4490,"3,239",738,385,468730,166361
Staten Island,2007,4 Year August,4490,"3,330",649,382,468730,166361
